Side,Route,Deleted_distance_m,Full_record_winner,Jackknife_winner,Matches_full_record,Winner_margin_pct,LOOCV_RMSE_G,LOOCV_RMSE_P,LOOCV_RMSE_E
North,Fine HF,2.0,P,P,True,93.78505814257996,1.152519716780197,0.5947412704710263,1.152519716780197
North,Fine HF,3.0,P,P,True,57.9836893157355,1.1311534281896163,0.7159938048597977,1.1311534281896163
North,Fine HF,4.0,P,P,True,61.15711347496594,1.1228972668440012,0.6967717667755519,1.1228972668440012
North,Fine HF,5.0,P,P,True,72.7391991935896,1.1190887827161298,0.6478487731449779,1.1190887827161298
North,Fine HF,6.0,P,P,True,59.129083301638005,1.0775652080127127,0.6771642151486087,1.0775652080127127
North,Fine HF,7.0,P,P,True,89.29408975779873,0.9924998823616454,0.5243163606595147,0.9924998823616454
North,Fine HF,8.0,P,P,True,97.65018852159558,1.1272607530624776,0.5703312308954925,1.1272607530624776
North,Fine HF,9.0,P,P,True,48.273137667491774,1.0803838184277705,0.7286443353283404,1.0803838184277705
North,Fine HF,10.0,P,P,True,71.49550088446416,1.068677998091355,0.6231522066641965,1.068677998091355
North,Fine HF,12.0,P,P,True,86.9920716079633,1.2591224552071518,0.673356064981704,1.2591224552071518
North,Fine HF,14.0,P,P,True,25.99088948442073,0.848211078321977,0.6732320739960024,0.848211078321977
North,Coarse LF,1.0,G,G,True,2.3208187238199325,1.4858344067871212,1.5231854106341833,1.5203179299047955
North,Coarse LF,2.0,G,G,True,1.710379276857999,1.4819451421763963,1.5317608573159218,1.5072920247825852
North,Coarse LF,3.0,G,G,True,3.4931890781312376,1.47790695140479,1.5398648293934012,1.5295330356162045
North,Coarse LF,4.0,G,G,True,1.0233356195289705,1.451522140394578,1.5059260440756406,1.466376083482585
North,Coarse LF,5.0,G,G,True,1.0257711955633542,1.4598400690785818,1.4998799695330258,1.474814688008482
North,Coarse LF,6.0,G,G,True,5.126643271792865,1.4644777484231104,1.5395562983795474,1.6519382353607814
North,Coarse LF,7.0,G,G,True,16.519007734112087,1.2241237555015898,1.4263368533480008,1.535479939726636
North,Coarse LF,8.0,G,P,False,46.59841798700743,1.1566715951163298,0.7890068740160907,1.1730265383514313
North,Coarse LF,9.0,G,G,True,6.819718781205928,1.4436570373141877,1.712322902586779,1.5421103874241044
North,Coarse LF,10.0,G,G,True,4.0984124127245005,1.3916296349526869,1.7951492602855361,1.4486643566507404
North,Coarse LF,12.0,G,G,True,17.002376859508665,1.5242893332463212,1.7834547501141527,1.8282065199345459
North,Coarse LF,14.0,G,G,True,24.547704966167558,1.4210423757322825,1.7698756655712615,1.933153405872782
North,Coarse HF,1.0,G,G,True,2.4575570261531263,1.4353574267492473,1.4844544328657137,1.470632154040734
North,Coarse HF,2.0,G,G,True,1.634590800362282,1.4324005249459622,1.4885012984444832,1.4558144121510699
North,Coarse HF,3.0,G,G,True,3.773325137437628,1.429432310803971,1.497210046256524,1.4833694395101928
North,Coarse HF,4.0,G,G,True,1.1138593896225752,1.4063714732546722,1.4678693459797265,1.4220364739624927
North,Coarse HF,5.0,G,G,True,0.9701675535174965,1.4098164058661204,1.4571890757431416,1.4234939872
North,Coarse HF,6.0,G,G,True,5.562052855972702,1.4186345524569466,1.4975397560976937,1.593465871881655
North,Coarse HF,7.0,G,G,True,18.73768105673591,1.1514644894004842,1.3672222329059196,1.4163093232130624
North,Coarse HF,8.0,G,P,False,40.14305142561898,1.121878925023566,0.800524117044079,1.1340908423176899
North,Coarse HF,9.0,G,G,True,6.698478240753388,1.4091360377509259,1.7120797939196384,1.503526708622286
North,Coarse HF,10.0,G,G,True,4.538105356742982,1.3472147781983548,1.7409213419317617,1.4083528042146074
North,Coarse HF,12.0,G,G,True,17.565527609096076,1.4700898301184384,1.7296076296866925,1.7283188651064063
